prompt,class,environment,weather,amount
"

A dozen rhinos in a vast national park under windy conditions.",rhino,national park,windy,Multiple
A single rhino in the national park under clear skies.,rhino,national park,clear,Single
Two rhinos in a national park under clear skies.,rhino,national park,clear,Two
Three rhinos in a national park under clear skies.,rhino,national park,clear,Three
"

Clear day in the national park, a herd of seven rhinos grazing in the grassy plains.",rhino,national park,clear,Multiple
A single rhino in a national park during the dry season.,rhino,national park,dry season,Single
Two rhinos in a national park during the dry season.,rhino,national park,dry season,Two
Three rhinos in a national park during the dry season.,rhino,national park,dry season,Three
"

Seven rhinos in a dusty national park during the dry season.",rhino,national park,dry season,Multiple
A single rhino in a national park during the wet season.,rhino,national park,wet season,Single
Two rhinos in a national park during the wet season.,rhino,national park,wet season,Two
Three rhinos in a national park during the wet season.,rhino,national park,wet season,Three
"

Seven rhinos in a lush national park during the wet season.",rhino,national park,wet season,Multiple
"

A single rhino in the open plains under a sunny sky.",rhino,open plains,sunny,Single
Two rhinos in the open plains under a sunny sky.,rhino,open plains,sunny,Two
Three rhinos roaming the vast open plains under a sunny sky.,rhino,open plains,sunny,Three
"

A dozen rhinos roaming freely in the golden open plains under the bright, sunny sky.",rhino,open plains,sunny,Multiple
"

A solitary rhino roams the open plains under overcast skies.",rhino,open plains,cloudy,Single
Two rhinos in the open plains under cloudy weather.,rhino,open plains,cloudy,Two
Three rhinos roaming the open plains under cloudy skies.,rhino,open plains,cloudy,Three
"

A dozen rhinos roaming the open plains under overcast skies.",rhino,open plains,cloudy,Multiple
"

A solitary rhino in the open plains amidst a rain shower.",rhino,open plains,rainy,Single
Two rhinos in the open plains during rainy weather.,rhino,open plains,rainy,Two
Three rhinos roaming the open plains under a rainy sky.,rhino,open plains,rainy,Three
"

A dozen rhinos roaming the open plains under a grey, rain-soaked sky.",rhino,open plains,rainy,Multiple
"

A solitary rhino roams the open plains as dark clouds gather on the horizon, signaling an approaching storm.",rhino,open plains,stormy,Single
Two rhinos in the open plains amidst a storm.,rhino,open plains,stormy,Two
Three rhinos roaming the open plains amidst a stormy weather.,rhino,open plains,stormy,Three
"

A dozen rhinos roaming the open plains amidst a stormy weather.",rhino,open plains,stormy,Multiple
"

A solitary rhino roams the open plains, shrouded in fog.",rhino,open plains,foggy,Single
Two rhinos in the open plains shrouded in fog.,rhino,open plains,foggy,Two
Three rhinos in the open plains shrouded in fog.,rhino,open plains,foggy,Three
"

A rhino herd in the open plains shrouded by fog.",rhino,open plains,foggy,Multiple
"

A solitary rhino roaming the open plains under a windy sky.",rhino,open plains,windy,Single
Two rhinos in the open plains under windy conditions.,rhino,open plains,windy,Two
Three rhinos roaming the vast open plains under a windy sky.,rhino,open plains,windy,Three
"

Multiple rhinos roaming the open plains under a windy sky.",rhino,open plains,windy,Multiple
"

A single rhino in the open plains under clear skies.",rhino,open plains,clear,Single
Two rhinos in the open plains under clear skies.,rhino,open plains,clear,Two
Three rhinos roaming the vast open plains under a clear sky.,rhino,open plains,clear,Three
"

Multiple rhinos in the open plains under clear skies.",rhino,open plains,clear,Multiple
A solitary rhino in the arid open plains.,rhino,open plains,dry season,Single
Two rhinos in the open plains during the dry season.,rhino,open plains,dry season,Two
Three rhinos roaming the open plains under the scorching sun of the dry season.,rhino,open plains,dry season,Three
"

Multiple rhinos on the open plains during the dry season.",rhino,open plains,dry season,Multiple
"

A solitary rhino in the open plains during the wet season.",rhino,open plains,wet season,Single
Two rhinos in the wet plains.,rhino,open plains,wet season,Two
Three rhinos roaming the open plains during the wet season.,rhino,open plains,wet season,Three
"

Multiple rhinos in the open plains during the wet season.",rhino,open plains,wet season,Multiple
"

A single rhino among acacia trees under a sunny sky.",rhino,near acacia trees,sunny,Single
Two rhinos near acacia trees under sunny weather.,rhino,near acacia trees,sunny,Two
Three rhinos near acacia trees under sunny weather.,rhino,near acacia trees,sunny,Three
"

A rhino family of five among acacia trees under a sunny sky.",rhino,near acacia trees,sunny,Multiple
"

A single rhino among acacia trees under cloudy weather.",rhino,near acacia trees,cloudy,Single
Two rhinos near acacia trees in cloudy weather.,rhino,near acacia trees,cloudy,Two
Three rhinos near acacia trees in cloudy weather.,rhino,near acacia trees,cloudy,Three
"

A rhino herd of seven in the acacia woodland under cloudy skies.",rhino,near acacia trees,cloudy,Multiple
"

A single rhino among acacia trees in a rainy weather.",rhino,near acacia trees,rainy,Single
Two rhinos in the vicinity of acacia trees under rainy weather.,rhino,near acacia trees,rainy,Two
Three rhinos near acacia trees in a rainy weather.,rhino,near acacia trees,rainy,Three
"

A rhino family of five in the vicinity of acacia trees during a rain shower.",rhino,near acacia trees,rainy,Multiple
"

A single rhino among acacia trees in a stormy weather.",rhino,near acacia trees,stormy,Single
Two rhinos in the vicinity of acacia trees during a storm.,rhino,near acacia trees,stormy,Two
Three rhinos near acacia trees in a stormy weather.,rhino,near acacia trees,stormy,Three
"

A rhino herd in the acacia woodland amidst a stormy weather.",rhino,near acacia trees,stormy,Multiple
"

A single rhino among acacia trees in foggy conditions.",rhino,near acacia trees,foggy,Single
Two rhinos in the misty acacia forest.,rhino,near acacia trees,foggy,Two
Three rhinos near acacia trees in foggy weather.,rhino,near acacia trees,foggy,Three
"

A rhino family of five in the vicinity of acacia trees, shrouded in fog.",rhino,near acacia trees,foggy,Multiple
"

A single rhino among acacia trees under a windy weather.",rhino,near acacia trees,windy,Single
Two rhinos near acacia trees in a windy weather.,rhino,near acacia trees,windy,Two
Three rhinos near acacia trees in a windy weather.,rhino,near acacia trees,windy,Three
"

A rhino herd grazing among acacia trees with a windy weather.",rhino,near acacia trees,windy,Multiple
"

A single rhino among acacia trees under clear skies.",rhino,near acacia trees,clear,Single
Two rhinos near acacia trees in clear weather.,rhino,near acacia trees,clear,Two
Three rhinos near acacia trees under clear sky.,rhino,near acacia trees,clear,Three
"

A rhino family of five among acacia trees under clear weather.",rhino,near acacia trees,clear,Multiple
"

A single rhino among acacia trees during the dry season.",rhino,near acacia trees,dry season,Single
Two rhinos near acacia trees in a dry season.,rhino,near acacia trees,dry season,Two
Three rhinos near acacia trees in a dry season.,rhino,near acacia trees,dry season,Three
"

A rhino herd grazes among acacia trees during the dry season.",rhino,near acacia trees,dry season,Multiple
"

A single rhino among acacia trees during the wet season.",rhino,near acacia trees,wet season,Single
Two rhinos in the vicinity of near acacia trees during the wet season.,rhino,near acacia trees,wet season,Two
Three rhinos near acacia trees in wet season.,rhino,near acacia trees,wet season,Three
"

A rhino herd in the vicinity of acacia trees during the wet season.",rhino,near acacia trees,wet season,Multiple
"

A single rhino wading in a muddy river under a sunny sky.",rhino,muddy river,sunny,Single
Two rhinos wading in a muddy river under a sunny sky.,rhino,muddy river,sunny,Two
Three rhinos wading in a muddy river under a sunny sky.,rhino,muddy river,sunny,Three
"

A rhino wading through a muddy river under a sunny sky. Multiple rhinos present.",rhino,muddy river,sunny,Multiple
"

A single rhino wading through a muddy river under cloudy weather.",rhino,muddy river,cloudy,Single
Two rhinos wading in a muddy river under cloudy weather.,rhino,muddy river,cloudy,Two
Three rhinos wading in a muddy river under cloudy weather.,rhino,muddy river,cloudy,Three
"

A rhino wading through a muddy river under cloudy weather.",rhino,muddy river,cloudy,Multiple
"

A single rhino wading through a muddy river during rainfall.",rhino,muddy river,rainy,Single
Two rhinos wading in a muddy river under a rainy sky.,rhino,muddy river,rainy,Two
Three rhinos wading in a muddy river under a rainy sky.,rhino,muddy river,rainy,Three
"

A rhino wading through a muddy river during a rainstorm.",rhino,muddy river,rainy,Multiple
"

A single rhino wading through a muddy river during a storm.",rhino,muddy river,stormy,Single
Two rhinos wading in a muddy river during a storm.,rhino,muddy river,stormy,Two
Three rhinos wading in a muddy river during a storm.,rhino,muddy river,stormy,Three
"

A rhino herd wading through a muddy river during a storm.",rhino,muddy river,stormy,Multiple
"

A single rhino wading through a muddy river in foggy conditions.",rhino,muddy river,foggy,Single
Two rhinos wading in a foggy river.,rhino,muddy river,foggy,Two
Three rhinos wading in a foggy muddy river.,rhino,muddy river,foggy,Three
"

A rhino wading through a muddy river in a foggy weather.",rhino,muddy river,foggy,Multiple
"

A single rhino wading through a muddy river in a windy condition.",rhino,muddy river,windy,Single
Two rhinos wading in a muddy river under a windy sky.,rhino,muddy river,windy,Two
Three rhinos wading in a muddy river under a windy sky.,rhino,muddy river,windy,Three
"

A rhino wading through a muddy river in a windy weather.",rhino,muddy river,windy,Multiple
"

A single rhino wading through a muddy river under clear skies.",rhino,muddy river,clear,Single
Two rhinos wading in a muddy river under clear skies.,rhino,muddy river,clear,Two
Three rhinos wading in a muddy river under clear skies.,rhino,muddy river,clear,Three
"

A rhino wading through a muddy river under clear skies. Multiple rhinos present.",rhino,muddy river,clear,Multiple
"

A single rhino wading through a muddy river during the dry season.",rhino,muddy river,dry season,Single
Two rhinos wading in a muddy river during the dry season.,rhino,muddy river,dry season,Two
Three rhinos wading in a muddy river during the dry season.,rhino,muddy river,dry season,Three
"

A rhino wading through a muddy river during the dry season.",rhino,muddy river,dry season,Multiple
"

A single rhino wading through a muddy river during the wet season.",rhino,muddy river,wet season,Single
Two rhinos wading in a muddy river during the wet season.,rhino,muddy river,wet season,Two
Three rhinos wading in a muddy river during the wet season.,rhino,muddy river,wet season,Three
"

A rhino wading through a muddy river during the wet season.",rhino,muddy river,wet season,Multiple
"

A single rhino in the dusty trail under the sunny sky.",rhino,dusty trail,sunny,Single
Two rhinos in a dusty trail under a sunny sky.,rhino,dusty trail,sunny,Two
Three rhinos in a dusty trail under a sunny sky.,rhino,dusty trail,sunny,Three
"

A rhino in the dusty trail under the sunny sky.
Multiple rhinos in the dusty trail under the sunny sky.",rhino,dusty trail,sunny,Multiple
"

A single rhino in a dusty trail under cloudy weather.",rhino,dusty trail,cloudy,Single
Two rhinos in a dusty trail under cloudy weather.,rhino,dusty trail,cloudy,Two
Three rhinos in a dusty trail under cloudy weather.,rhino,dusty trail,cloudy,Three
"

A rhino in a cloudy dust trail. Multiple of them.",rhino,dusty trail,cloudy,Multiple
"

A single rhino in the dusty trail during a rainy day.",rhino,dusty trail,rainy,Single
Two rhinos in a dusty trail during rainy weather.,rhino,dusty trail,rainy,Two
Three rhinos in a dusty trail during rainy weather.,rhino,dusty trail,rainy,Three
"

A rhino in the dusty trail during a rain shower.",rhino,dusty trail,rainy,Multiple
"

A single rhino in the dusty trail during a stormy weather.",rhino,dusty trail,stormy,Single
Two rhinos in a dusty trail during a storm.,rhino,dusty trail,stormy,Two
Three rhinos in a dusty trail during a storm.,rhino,dusty trail,stormy,Three
"

A rhino herd in a dusty trail during a stormy weather.",rhino,dusty trail,stormy,Multiple
"

A single rhino in a dusty trail with foggy weather.",rhino,dusty trail,foggy,Single
Two rhinos in a dusty trail shrouded in fog.,rhino,dusty trail,foggy,Two
Three rhinos in a dusty trail shrouded in fog.,rhino,dusty trail,foggy,Three
"

A rhino in the dusty trail, surrounded by a thick fog.",rhino,dusty trail,foggy,Multiple
"

A single rhino in the dusty trail under a windy condition.",rhino,dusty trail,windy,Single
